Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.65,-0.493515594984676,0.216743416167595,0.15946361462248
shearrate,(max-min)/mean,no,cumvar max,1.8,-0.309983006982545,0.166480747518626,0.126750939528528
shearrate,(max-min)/max,no,cumvar max,1.6,-0.487807090984406,0.201307750551954,0.120629768819041
temperature,max-min,yes,deriv min,2,-0.138361382382565,0.0905673341706564,0.317617583418745
temperature,(max-min)/mean,yes,deriv min,1.85,-0.116755745147753,0.0641376187248688,0.319041111490719
temperature,(max-min)/max,yes,deriv min,2,-0.138333281568676,0.0903226708391931,0.316535702084045
length of velocity vector,max-min,no,cumvar max,1.8,-0.355806654742526,0.187487852830374,0.132701286869377
length of velocity vector,(max-min)/mean,no,deriv min,2,-0.13566148576398,0.093564914091819,0.156559617355654
length of velocity vector,(max-min)/max,no,deriv min,1.3,-0.0622183448029025,0.0161157018415858,0.411769730099078
angle of velocity vector,max-min,no,cumvar max,3.75,-0.0766057669097426,0.134854159833733,0.12068670994192
angle of velocity vector,(max-min)/mean,no,no cut,5.5,-0.0485115423619011,0.134999668471498,0.113796834073568
angle of velocity vector,(max-min)/max,no,cumvar max,5.35,-0.0728494965837953,0.19728259314592,0.140872338002505
viscosity,max-min,yes,cumvar max,1.95,-0.0785502790115022,0.0500312939295577,0.130281289147022
viscosity,(max-min)/mean,yes,cumvar max,1.55,-0.372996210030716,0.142526888999825,0.182012299282542
viscosity,(max-min)/max,yes,cumvar max,1.45,-0.626749214039955,0.198824662766515,0.202454162396082
