Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.6,-0.561968008011174,0.23116466567264,0.15347721822542
shearrate,(max-min)/mean,no,cumvar max,1.85,-0.270547423586602,0.153458589972545,0.103335513407456
shearrate,(max-min)/max,no,cumvar max,1.55,-0.502596016003472,0.18969203932743,0.12179347431146
temperature,max-min,yes,deriv min,1.55,-0.255386282201194,0.0949833068046164,0.419155584623211
temperature,(max-min)/mean,yes,deriv min,1.45,-0.222781554370828,0.0683730660108573,0.417556863600029
temperature,(max-min)/max,yes,deriv min,1.55,-0.256102810059644,0.0951128559069667,0.419155584623211
length of velocity vector,max-min,no,cumvar max,1.85,-0.327733310115206,0.183563871180839,0.119104716227018
length of velocity vector,(max-min)/mean,no,deriv min,1.7,-0.183980088656348,0.0946873849144747,0.198459414286752
length of velocity vector,(max-min)/max,no,deriv min,1.20000000000003,-0.00777559770365596,0.00123366428910173,0.552212775234358
angle of velocity vector,max-min,no,cumvar max,3.75,-0.0622410168553158,0.10937802715692,0.10922171353826
angle of velocity vector,(max-min)/mean,no,cumvar max,3.85,-0.0407886689007291,0.0741783386629688,0.0693263570961413
angle of velocity vector,(max-min)/max,no,cumvar max,3.85,-0.0625899242574514,0.114052836831461,0.112201148172371
viscosity,max-min,yes,cumvar max,1.6,-0.116961375954182,0.0482274155176933,0.244531647409345
viscosity,(max-min)/mean,yes,cumvar max,2,-0.140495867768595,0.0942428883450881,0.177458033573141
viscosity,(max-min)/max,yes,first 0,1.65,-0.383287376093131,0.166760783574151,0.200421480997021
