Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.3,-0.511081130244968,0.116664827873325,0.243067345783814
shearrate,(max-min)/mean,no,cumvar max,1.75,-0.341247003894936,0.171369986741033,0.134620826259196
shearrate,(max-min)/max,no,cumvar max,1.55,-0.542722345566149,0.203741705777659,0.152589134125637
temperature,max-min,yes,deriv min,1.45,-0.304496578690127,0.0944841780926856,0.456494057724958
temperature,(max-min)/mean,yes,deriv min,1.35,-0.258542862532675,0.0639959349979386,0.455786644029428
temperature,(max-min)/max,yes,deriv min,1.45,-0.306057176176021,0.094962226576798,0.456494057724958
length of velocity vector,max-min,no,cumvar max,1.45,-0.384228533209857,0.1248364220436,0.191426146010187
length of velocity vector,(max-min)/mean,no,deriv min,1.55,-0.192416525183927,0.0806431670811256,0.246533672891907
length of velocity vector,(max-min)/max,no,deriv min,1.15000000000002,-0.013511601584607,0.00179742020138405,0.603423882286361
angle of velocity vector,max-min,no,cumvar max,3.6,-0.0453762934342426,0.0767081197515996,0.0764006791171477
angle of velocity vector,(max-min)/mean,no,deriv min,1.25,-0.194296224432048,0.0366220197033231,0.264289756649689
angle of velocity vector,(max-min)/max,no,deriv min,1.25,-0.459758266634328,0.0875731954817972,0.507781550650821
viscosity,max-min,yes,deriv min,3.55,-0.0311500588663861,0.0514716169994173,0.244977362761743
viscosity,(max-min)/mean,yes,first 0,3.85,-0.0570452580951724,0.101300024369831,0.136601584606678
viscosity,(max-min)/max,yes,first 0,1.8,-0.321316663337661,0.17021170853828,0.245048104131296
