Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.6,-0.331026454298878,0.137412141445772,0.188741135499321
shearrate,(max-min)/mean,no,cumvar max,1.75,-0.396187688084652,0.199992064841062,0.152878380315538
shearrate,(max-min)/max,no,cumvar max,1.6,-0.578006540347696,0.237446054065938,0.150433000817937
temperature,max-min,yes,deriv min,2.55,-0.0617099144893644,0.0617014718005451,0.243053857375349
temperature,(max-min)/mean,yes,deriv min,2.35,-0.0529217221898151,0.0450431442845076,0.243686283107487
temperature,(max-min)/max,yes,deriv min,2.5,-0.0578812350716926,0.055654564888885,0.246030474487946
length of velocity vector,max-min,no,cumvar max,1.6,-0.293636425720648,0.121706229428162,0.176792505333457
length of velocity vector,(max-min)/mean,no,deriv min,2.4,-0.090024027193185,0.0827150548881708,0.121442605256723
length of velocity vector,(max-min)/max,no,deriv min,1.45,-0.1241992148722,0.0431930159571744,0.311870209375079
angle of velocity vector,max-min,no,cumvar max,3.55,-0.073942232480278,0.121957649290967,0.111365955257988
angle of velocity vector,(max-min)/mean,no,cumvar max,2.25,-0.198124891938082,0.159625069835917,0.110025212705855
angle of velocity vector,(max-min)/max,no,deriv min,1.2,-0.553937482608294,0.0882516850264928,0.604042465279827
