Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.65,-0.497386965613819,0.218530073606126,0.159207379569525
shearrate,(max-min)/mean,no,cumvar max,1.8,-0.310629874885839,0.166937001490959,0.126580116159891
shearrate,(max-min)/max,no,cumvar max,1.6,-0.488191912858807,0.201427400054929,0.120800592187678
temperature,max-min,yes,deriv min,1.95,-0.124950658162317,0.0776853228208648,0.325674752306115
temperature,(max-min)/mean,yes,deriv min,1.8,-0.107716415344181,0.0558050158782135,0.327411456553923
temperature,(max-min)/max,yes,deriv min,1.95,-0.125401905857914,0.0778852921502656,0.325333105568842
length of velocity vector,max-min,no,cumvar max,1.8,-0.357685153551228,0.188781620634742,0.129911171848309
length of velocity vector,(max-min)/mean,no,deriv min,2,-0.135763166340549,0.0936257932559427,0.156758911285731
length of velocity vector,(max-min)/max,no,deriv min,1.3,-0.063631704817219,0.0165139564333932,0.411769730099078
angle of velocity vector,max-min,no,cumvar max,3.7,-0.0784841147413747,0.135592323498445,0.123733060015944
angle of velocity vector,(max-min)/mean,no,no cut,5.5,-0.0484520711270166,0.135146212750465,0.109583190980526
angle of velocity vector,(max-min)/max,no,cumvar max,5.35,-0.0723896189483851,0.196447049364492,0.136886459400979
