Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.8,-0.398881563208399,0.212034036497373,0.155782618225084
shearrate,(max-min)/mean,no,cumvar max,1.8,-0.339244101510643,0.182441094589397,0.131829709955851
shearrate,(max-min)/max,no,cumvar max,1.6,-0.535963884778764,0.220059697698541,0.141567428219553
temperature,max-min,yes,deriv min,2.55,-0.0603094108994631,0.0589801271395736,0.236043125671882
temperature,(max-min)/mean,yes,deriv min,2.4,-0.0562150543759835,0.0489589915726579,0.233506935384551
temperature,(max-min)/max,yes,deriv min,2.55,-0.0605051045944732,0.0591017657077244,0.235030736956363
length of velocity vector,max-min,no,cumvar max,1.95,-0.289499855176856,0.180393107003476,0.124262887082129
length of velocity vector,(max-min)/mean,no,deriv min,2.45,-0.0851113775608998,0.0813134505430058,0.114525168818428
length of velocity vector,(max-min)/max,no,deriv min,1.5,-0.106742015460039,0.0417662130518147,0.302641603957709
angle of velocity vector,max-min,no,cumvar max,3.8,-0.0891353780291838,0.161052384540754,0.14553348710509
angle of velocity vector,(max-min)/mean,no,no cut,5.5,-0.0580836572671211,0.16099536280222,0.150626741673886
angle of velocity vector,(max-min)/max,no,no cut,5.5,-0.0756243930171041,0.211403265841413,0.162399674365691
