Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.7,-0.490446543042303,0.228303915627829,0.180157712639843
shearrate,(max-min)/mean,no,cumvar max,1.75,-0.357406352308921,0.181585450584811,0.130446618310824
shearrate,(max-min)/max,no,cumvar max,1.55,-0.581598980236118,0.221313796566961,0.142389223555033
temperature,max-min,yes,deriv min,2.6,-0.0579786847130614,0.0564168923764164,0.214694673246808
temperature,(max-min)/mean,yes,deriv min,2.45,-0.0571905679518356,0.0505041657811867,0.211155798310473
temperature,(max-min)/max,yes,deriv min,2.6,-0.0581227020041055,0.0565477609639303,0.214281950859692
length of velocity vector,max-min,no,cumvar max,1.95,-0.300536109940634,0.186658892211504,0.123781590825269
length of velocity vector,(max-min)/mean,no,deriv min,2.45,-0.0865187557724529,0.0824973198772272,0.114982700785051
length of velocity vector,(max-min)/max,no,deriv min,1.5,-0.0973729461672699,0.0377480103314087,0.303693426298319
angle of velocity vector,max-min,no,cumvar max,5,-0.0835749507234267,0.209214495760157,0.186866646762325
angle of velocity vector,(max-min)/mean,no,cumvar max,5.15,-0.0669526069689478,0.173238010455334,0.14538365619347
angle of velocity vector,(max-min)/max,no,cumvar max,5,-0.0840187012605592,0.210293594707145,0.185654823583133
