Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.6,-0.562420666774751,0.229753305963193,0.173179800887609
shearrate,(max-min)/mean,no,cumvar max,1.8,-0.323946875139644,0.174467500552998,0.120810843228979
shearrate,(max-min)/max,no,cumvar max,1.55,-0.553906211336942,0.211012038119462,0.127407940506177
temperature,max-min,yes,deriv min,1.95,-0.11766065036647,0.0715958684158671,0.314957418735756
temperature,(max-min)/mean,yes,deriv min,1.85,-0.109831055140692,0.0593312484330434,0.311646875374835
temperature,(max-min)/max,yes,deriv min,2,-0.129314945579789,0.0836675209169078,0.309199952021111
length of velocity vector,max-min,no,cumvar max,1.8,-0.369111708495321,0.194852123247476,0.13717164447643
length of velocity vector,(max-min)/mean,no,deriv min,2,-0.139421979004563,0.0954371798055893,0.157058894086602
length of velocity vector,(max-min)/max,no,deriv min,1.3,-0.070460425983996,0.0175403443148869,0.410843228979249
angle of velocity vector,max-min,no,cumvar max,4.75,-0.0797537105546424,0.188378243156114,0.166294830274679
angle of velocity vector,(max-min)/mean,no,cumvar max,5,-0.05716797346295,0.143331967945746,0.119539402662828
angle of velocity vector,(max-min)/max,no,cumvar max,4.85,-0.0787995329880445,0.191249032880797,0.163632001919156
