Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.7,-0.488174060962484,0.2272069723994,0.180192837949384
shearrate,(max-min)/mean,no,cumvar max,1.75,-0.356664717556353,0.181142472344565,0.129998770614166
shearrate,(max-min)/max,no,cumvar max,1.55,-0.580517894441567,0.220892841846982,0.141361808250935
temperature,max-min,yes,deriv min,2.65,-0.0589710476617311,0.0590262653127288,0.206712446653436
temperature,(max-min)/mean,yes,deriv min,2.5,-0.0579286109243112,0.0528456601559619,0.203173571717101
temperature,(max-min)/max,yes,deriv min,2.65,-0.0590740085576148,0.0591211849889232,0.206176785682924
length of velocity vector,max-min,no,cumvar max,1.95,-0.299795903464557,0.186020533947737,0.125335885772493
length of velocity vector,(max-min)/mean,no,deriv min,2.45,-0.0865851187738508,0.0825325228929639,0.115149546005374
length of velocity vector,(max-min)/max,no,deriv min,1.5,-0.0969370730079558,0.0375474150476731,0.303746114262632
angle of velocity vector,max-min,no,cumvar max,5,-0.0834242046033098,0.20895689547864,0.186330985791812
angle of velocity vector,(max-min)/mean,no,cumvar max,5.1,-0.0678216794511983,0.17321132032239,0.148202462284199
angle of velocity vector,(max-min)/max,no,cumvar max,5,-0.0838859243381477,0.210102947434167,0.184601064296879
viscosity,max-min,yes,cumvar max,2.75,-0.0339153398216606,0.0389711373933216,0.131026185918263
viscosity,(max-min)/mean,yes,cumvar max,1.5,-0.316957222162793,0.111599340722455,0.181009501396231
viscosity,(max-min)/max,yes,cumvar max,1.4,-0.543280235573743,0.156604280189575,0.215862589789073
