Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.8,-0.402294051955372,0.213628809826358,0.159466878189807
shearrate,(max-min)/mean,no,cumvar max,1.8,-0.339425214106809,0.182643279984426,0.129105653721311
shearrate,(max-min)/max,no,cumvar max,1.6,-0.535149569622971,0.219835103034783,0.137893605251897
temperature,max-min,yes,deriv min,2.65,-0.0649245163123606,0.0666703639662263,0.220084957156127
temperature,(max-min)/mean,yes,deriv min,2.45,-0.0580166777640544,0.0515866250938737,0.221139093859915
temperature,(max-min)/max,yes,deriv min,2.65,-0.0649699001070944,0.0666329688772813,0.219688351267573
length of velocity vector,max-min,no,cumvar max,1.95,-0.289012926103157,0.179306327622233,0.128594240865018
length of velocity vector,(max-min)/mean,no,deriv min,2.45,-0.0851979849003006,0.0813742192680826,0.115433187563274
length of velocity vector,(max-min)/max,no,deriv min,1.5,-0.106707858015092,0.0416835153614584,0.3024537380105
angle of velocity vector,max-min,no,cumvar max,3.85,-0.0880727710314892,0.161913465332679,0.148163610366025
angle of velocity vector,(max-min)/mean,no,no cut,5.5,-0.0575082777030502,0.159725642734192,0.150407564735474
angle of velocity vector,(max-min)/max,no,no cut,5.5,-0.0754285800587496,0.211031245017211,0.164027845908175
viscosity,max-min,yes,cumvar max,2.5,-0.0549133342064498,0.0543208416132445,0.100685710707315
viscosity,(max-min)/mean,yes,cumvar max,1.7,-0.300111004918807,0.142555832366115,0.156680199972864
viscosity,(max-min)/max,yes,cumvar max,1.6,-0.440591523116859,0.181524347424705,0.171187625896277
