Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.6,-0.562750598721822,0.231420483789398,0.155148608386018
shearrate,(max-min)/mean,no,cumvar max,1.85,-0.272300032194903,0.154425234890882,0.104062204781629
shearrate,(max-min)/max,no,cumvar max,1.55,-0.505883913339767,0.190694007714182,0.123537533609476
temperature,max-min,yes,deriv min,1.55,-0.250639920358691,0.093284037930588,0.420681636508975
temperature,(max-min)/mean,yes,deriv min,1.45,-0.219236181302891,0.0672859571945992,0.420826974783809
temperature,(max-min)/max,yes,deriv min,1.55,-0.250853354188868,0.0934029613600882,0.420681636508975
length of velocity vector,max-min,no,cumvar max,1.8,-0.350229620225388,0.183859369029488,0.132911852336313
length of velocity vector,(max-min)/mean,no,deriv min,1.7,-0.184083901709801,0.0947394147236988,0.198677421699004
length of velocity vector,(max-min)/max,no,deriv min,1.20000000000003,-0.00763025942882096,0.00121859014991668,0.552212775234358
angle of velocity vector,max-min,no,cumvar max,3.8,-0.061790056959076,0.111001124549425,0.109367051813095
angle of velocity vector,(max-min)/mean,no,cumvar max,3.9,-0.0414278640314994,0.0769511706458007,0.0693990262335586
angle of velocity vector,(max-min)/max,no,cumvar max,3.9,-0.0623312199823054,0.115940400901143,0.111547125935615
